,0
0,People using safely managed sanitation services (% of population)
1,"People using safely managed sanitation services, urban (% of urban population)"
2,"People using safely managed sanitation services, rural (% of rural population)"
3,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
4,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
5,"Mortality rate attributed to unintentional poisoning (per 100,000 population)"
6,People practicing open defecation (% of population)
7,"People practicing open defecation, urban (% of urban population)"
8,"People practicing open defecation, rural (% of rural population)"
9,People using at least basic sanitation services (% of population)
10,"People using at least basic sanitation services, urban (% of urban population)"
11,"People using at least basic sanitation services, rural (% of rural population)"
12,People using safely managed drinking water services (% of population)
13,"People using safely managed drinking water services, urban (% of urban population)"
14,"People using safely managed drinking water services, rural (% of rural population)"
15,People using at least basic drinking water services (% of population)
16,"People using at least basic drinking water services, urban (% of urban population)"
17,"People using at least basic drinking water services, rural (% of rural population)"
18,Total natural resources rents (% of GDP)
19,Oil rents (% of GDP)
20,Natural gas rents (% of GDP)
21,Mineral rents (% of GDP)
22,Forest rents (% of GDP)
23,Coal rents (% of GDP)
24,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
25,"Adjusted net savings, including particulate emission damage (% of GNI)"
26,Adjusted savings: net national savings (% of GNI)
27,Adjusted savings: gross savings (% of GNI)
28,Adjusted savings: particulate emission damage (% of GNI)
29,Adjusted savings: energy depletion (% of GNI)
30,Adjusted savings: mineral depletion (% of GNI)
31,Adjusted savings: consumption of fixed capital (% of GNI)
32,Adjusted savings: net forest depletion (% of GNI)
33,Adjusted savings: carbon dioxide damage (% of GNI)
34,Adjusted savings: education expenditure (% of GNI)
35,Renewable internal freshwater resources per capita (cubic meters)
36,"Annual freshwater withdrawals, total (% of internal resources)"
37,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
38,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
39,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
40,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
41,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
42,Total fisheries production (metric tons)
43,Capture fisheries production (metric tons)
44,Aquaculture production (metric tons)
45,CO2 emissions from transport (% of total fuel combustion)
46,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)"
47,CO2 emissions from manufacturing industries and construction (% of total fuel combustion)
48,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)"
49,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)
50,Nitrous oxide emissions (% change from 1990)
51,Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
52,Nitrous oxide emissions in energy sector (% of total)
53,Agricultural nitrous oxide emissions (% of total)
54,Methane emissions (% change from 1990)
55,Methane emissions (kt of CO2 equivalent)
56,Energy related methane emissions (% of total)
57,Methane emissions in energy sector (thousand metric tons of CO2 equivalent)
58,Agricultural methane emissions (% of total)
59,Total greenhouse gas emissions (% change from 1990)
60,Total greenhouse gas emissions (kt of CO2 equivalent)
61,Other greenhouse gas emissions (% change from 1990)
62,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)"
63,CO2 emissions from solid fuel consumption (% of total)
64,CO2 emissions (metric tons per capita)
65,CO2 emissions from liquid fuel consumption (% of total)
66,CO2 emissions (kg per 2015 US$ of GDP)
67,CO2 emissions from gaseous fuel consumption (% of total)
68,CO2 intensity (kg per kg of oil equivalent energy use)
69,Renewable energy consumption (% of total final energy consumption)
70,"Electricity production from renewable sources, excluding hydroelectric (% of total)"
71,Renewable electricity output (% of total electricity output)
72,"Electricity production from oil, gas and coal sources (% of total)"
73,Access to electricity (% of population)
74,Energy intensity level of primary energy (MJ/$2017 PPP GDP)
75,Access to clean fuels and technologies for cooking (% of population)
76,"Access to clean fuels and technologies for cooking, urban (% of urban population)"
77,"Access to clean fuels and technologies for cooking, rural (% of rural population)"
78,Surface area (sq. km)
79,Land area (sq. km)
80,Average precipitation in depth (mm per year)
81,Forest area (% of land area)
82,Arable land (% of land area)
83,Agricultural land (% of land area)
